,Id,Latitude,Longitude,Country,HDI Rank,HDI,Life expectancy,Mean years of schooling,Gross national income (GNI) per capita,GNI per capita rank minus HDI rank,Change in HDI rank 2010-2015,Average annual HDI growth 1990-2000,Average annual HDI growth 2000-2010,Average annual HDI growth 2010-2015,Average annual HDI growth 1990-2015,Gender Development Index value,Gender Development Index Group,Human Development Index (HDI) Female,Human Development Index (HDI) Male,Life expectancy at birth Female,Life expectancy at birth Male,Mean years of schooling Female,Mean years of schooling Male,Estimated gross national income per capita Female,Estimated gross national income per capita Male,Share of seats in parliament (% held by women),Population with at least some secondary education % (2005-2015) Female,Population with at least some secondary education % (2005-2015) Male,Labour force participation rate (% ages 15 and older) Female ,Total Population (millions) 2015,Total Population (millions) 2030,Population Average annual growth 2000/2005 (%) ,Population Average annual growth 2010/2015 (%) ,Population Urban 2015 %,Population Under age 5 (millions) 2015,Population Ages 15–64 (millions) 2015,Population Ages 65 and older (millions) 2015,Population Median age (years) 2015,Dependency Ration Young age (0–14) /(per 100 people ages 15–64),Dependency Ratio Old age (65 and older) /(per 100 people ages 15–64),Total fertility rate (birth per woman) 2000/2005,Total fertility rate (birth per woman) 2000/2007,Infants exclusively breastfed (% ages 0–5 months) 2010-2015,Infants lacking immunization DTP (% of one-year-olds),Infants lacking immunization Measles (% of one-year-olds),Child malnutrition Stunting (moderate or severe) 2010-2015,"Mortality rates Infant (per 1,000 live births) 2015","Mortality rates Under-five (per 1,000 live births) 2015","Mortality rates Female Adult (per 1,000 live births) 2014","Mortality rates Male Adult (per 1,000 live births) 2014","Deaths due to Malria (per 100,000 people) ","Deaths due to Tuberculosis (per 100,000 people) ","HIV prevalence, adult (% ages 15–49)",Life expectancy at age 59 (years) 2010/2015,"Physicians  (per 10,000 people) 2001-2014",Public health expenditure (% of GDP) 2014,Employment to population ratio (% ages 15 and older) ,Labour force participation rate (% ages 15 and older),Employment in agriculture (% of total employment) 2010-2014,Employment in services (% of total employment) 2010- 2014,Total Unemployment (% of labour force) 2015,Unemployment Youth (% ages 15-24) 2010-2014,Unemployment Youth not in school or employment (% ages 15-24) 2010-2014,Vulnerable employment (% of total employment) 2005-2014,Child labour  (% ages 5-14) 2009-2015,Working poor at PPP$3.10 a day (%) 2004-2013,Mandatory paid maternity leave (days),Old-age pension recipients  (% of statutory pension age population) 2004-2013,Internet users,Internet users (% 2010 -2015),Inequality-adjusted HDI (IHDI),Inequality-adjusted HDI (IHDI) Over loss(%),Difference from HDI rank,Coefficient of human inequality,Inequality in life expectancy (%) 2010-2015,Inequality-adjusted life expectancy index,Inequality in education(%),Inequality-adjusted education index,Inequality in income (%),Inequality-adjusted income index,Income inequality (Quintile ratio) 2010-2015,Income inequality (Palma ratio) 2010-2015,Income inequality (Gini coefficient) 2010-2015
81,82,41.6086,21.7453,Macedonia,82,0.748,75.5,9.4,12405,5,0,,,0.35,,0.947,3,0.725,0.765,77.9,73.2,8.9,9.8,9050,15790,33.3,40.2,55.6,43.9,2.099999905,2.099999905,0.3,0.2,57.1,0.1,1.5,0.3,37.5,24,17.4,1.6,1.5,23,2,7,4.9,4.8,5.5,71,134,,2.3,,19.1,26.3,4.1,40.9,55.9,18,51.4,26.9,49.4,25.1,22.8,13,3,270,52.2,70.4,2.900000095,0.623,16.7,1,16.1,7.6,0.789,10.6,0.602,30.1,0.509,9.3,2.3,44.1
33,34,35.937496,14.375416,Malta,33,0.856,80.7,11.3,29500,3,3,0.63,0.53,0.71,0.61,0.923,4,0.817,0.885,82.4,79,10.9,11.6,17295,41802,12.9,72.7,81.2,38.8,0.400000006,0.400000006,0.5,0.3,95.4,0,0.300000012,0.1,41.5,21.8,29,1.5,1.4,,1,2,,5.1,6.4,41,70,,0.3,,22.8,34.9,6.7,49.5,52.3,1.2,77.1,5.4,12.3,11.4,9.4,,,126,60.5,76.2,20.5,0.786,8.1,3,8,4.5,0.892,6,0.734,13.6,0.742,,,
106,107,47.411631,28.369885,Moldova,107,0.699,71.7,11.9,5026,31,0,-0.87,1.18,0.81,0.28,1.01,1,0.702,0.695,75.9,67.6,12,11.8,4461,5637,21.8,95.2,97.3,38.8,4.099999905,3.799999952,-0.2,-0.1,45,0.2,3,0.4,35.6,21.2,13.4,1.2,1.3,36.4,6,10,6.4,13.6,15.8,101,244,,7.8,0.6,17.3,29.8,5.3,39.9,42,28.8,53.5,5,15.6,28.6,32,16,1.2,126,72.8,49.8,51.29999924,0.628,10.2,21,10.1,9,0.724,7.3,0.672,14,0.509,3.8,0.9,26.8
190,191,43.750298,7.412841,Monaco,,,,,,,,,,,,,,,,,,,,,,20.8,,,,0,0,1,0.5,100,,,,,,,,,,1,1,,2.8,3.5,,,,0.2,,,71.7,3.8,,,,,,,,,,,,,93.4,39.70000076,,,,,,,,,,,,,
47,48,42.708678,19.37439,Montenegro,48,0.807,76.4,11.3,15410,24,2,,,0.38,,0.955,2,0.789,0.827,78.6,74.2,10.7,12,11757,19149,17.3,86.9,96.2,42,0.600000024,0.600000024,0.1,0.1,64,0,0.400000006,0.1,37.6,27.6,20.2,1.9,1.7,16.8,3,12,9.4,4.3,4.7,73,130,,0.6,,19.8,21.1,3.7,40,48.9,5.7,73,18.2,37.5,,,13,1.8,45,52.3,64.6,-14.10000038,0.736,8.8,1,8.7,5.2,0.823,7.4,0.738,13.6,0.657,4.8,1.2,31.9
6,7,52.132633,5.291266,Netherlands,7,0.924,81.7,11.9,46326,8,-2,0.56,0.37,0.29,0.43,0.946,3,0.895,0.946,83.5,79.9,11.6,12.2,30117,62773,36.4,86.2,90.3,57.5,16.89999962,17.60000038,0.5,0.4,90.5,0.9,11,3.1,42.7,25.3,27.9,1.7,1.8,,2,4,,3.2,3.8,,,,0.1,,23.8,28.6,9.5,59.9,63.8,2,75.3,6.1,8.8,5,12.8,,,112,100,93.1,7,0.861,6.9,2,6.8,3.7,0.914,4.2,0.859,12.4,0.812,4.2,1,28
0,1,60.472024,8.468946,Norway,1,0.949,81.7,12.7,67614,5,0,0.77,0.24,0.21,0.45,0.993,1,0.944,0.951,83.7,79.7,12.8,12.7,59800,75314,39.6,96.1,94.6,61.2,5.199999809,5.900000095,0.6,1.3,80.5,0.3,3.400000095,0.9,39.1,27.3,24.9,1.8,1.8,,1,6,,2,2.6,44,69,,0.2,,23.9,42.8,8.3,62.2,64.9,2.1,77,4.1,10.1,5.5,5.3,,,,100,96.8,-0.800000012,0.898,5.4,0,5.4,3.3,0.918,2.4,0.894,10.4,0.882,3.8,0.9,25.9
35,36,51.919438,19.145136,Poland,36,0.855,77.6,11.9,24117,11,-3,0.97,0.56,0.62,0.74,1.006,1,0.857,0.852,81.5,73.6,11.9,12,18928,29658,24.8,81.1,86.9,49.1,38.59999847,37.20000076,0,0,60.5,2,26.79999924,6,39.6,21.5,22.3,1.3,1.4,,1,2,,4.5,5.2,,,,1.4,,21.5,22.2,4.5,52.7,56.9,11.2,57.9,7.4,19.9,12,17.2,,,182,96.5,68,21,0.774,9.5,2,9.3,5.2,0.84,5.4,0.806,17.4,0.685,5,1.2,32.1
40,41,39.399872,-8.224454,Portugal,41,0.843,81.2,8.9,26104,2,1,0.97,0.45,0.59,0.68,0.98,1,0.833,0.85,84,78.2,8.9,8.9,21095,31673,34.8,50.8,52.2,53.6,10.30000019,9.800000191,0.4,-0.4,63.5,0.4,6.699999809,2.2,44,21.6,31.9,1.5,1.3,,1,2,,3,3.6,,,,1.2,,23.7,41,6.2,51.4,58.5,5.5,69.5,12.1,30.1,12.3,14.5,3,,,100,68.6,-4.199999809,0.755,10.4,1,10.1,3.9,0.905,5.9,0.712,20.4,0.669,6.7,1.5,36
49,50,45.943161,24.96676,Romania,50,0.802,74.8,10.8,19428,11,-2,0.11,1.2,0.12,0.55,0.99,1,0.796,0.805,78.4,71.3,10.3,11,16272,22786,12,86.1,92.2,47.6,19.5,17.60000038,-0.7,-0.8,54.6,0.9,13.10000038,3.4,42.1,23.1,25.8,1.3,1.5,15.8,2,11,12.8,9.7,11.1,79,195,,5.5,,19.8,24.5,4.5,52,55.9,25.4,44.5,6.9,23.1,17,30.9,1,,126,98,55.8,-3.799999952,0.714,11.1,0,10.8,8.4,0.773,4.6,0.734,19.5,0.641,4.1,1,27.5
